,url
0,b'https://banen.monsterboard.nl/analist-microbiologie-schiedam-zh-nl-nofalab-b-v/221302072'
1,b'https://banen.monsterboard.nl/analytics-data-controller-almelo-ov-nl-michael-page-international-netherlands-sa/222418805'
2,b'https://banen.monsterboard.nl/b-i-specialist-data-analist-data-consultant-zeist-ut-nl-computer-futures/221492016'
3,b'https://banen.monsterboard.nl/big-data-developer-utrecht-nl-cooder-x-viqtor-davis/bcd87cb0-c93c-4ea7-8802-61cfac6ea85c'
4,b'https://banen.monsterboard.nl/big-data-engineer-\xe2\x80\x98s-hertogenbosch-nl-cooder-x-vry/5ea0a225-517d-4333-949d-2a913d94f133'
5,b'https://banen.monsterboard.nl/biomedisch-analist-mlo-oost-brabant-nb-nl-balans/222214903'
6,b'https://banen.monsterboard.nl/business-analist-abn-amro-amersfoort-ut-nl-carrierecafe/220975479'
7,b'https://banen.monsterboard.nl/business-analist-amersfoort-ut-nl-passionned-nederland-bv/a0aac759-6820-4b7d-b390-86ff23ca0420'
8,b'https://banen.monsterboard.nl/business-analist-customer-markets-\xe2\x80\x93-h005-arnhem-ge-nl-chiefs-of-it-b-v/dd69920c-71c8-4d9c-872b-9ac1c1d09b9f'
9,b'https://banen.monsterboard.nl/business-analist-den-haag-nl-militaire-inlichtingen/c01f4fdb-11c8-4fef-815d-c4c6eab2f171'
10,b'https://banen.monsterboard.nl/business-analist-managementinformatie-apeldoorn-ge-nl-belastingdienst/2f4c27ca-8e7d-45b3-921f-fb94dde9f038'
11,b'https://banen.monsterboard.nl/business-analist-utrecht-ut-nl-belastingdienst/427fa7cc-d454-4038-8204-cb5b4a8d7949'
12,b'https://banen.monsterboard.nl/business-analist-utrecht-ut-nl-carrierecafe/220975573'
13,b'https://banen.monsterboard.nl/business-analist-zeist-ut-nl-adapt-business-analytics-b-v/417c7d2f-6254-40a2-92d9-4b3db9bed094'
14,b'https://banen.monsterboard.nl/business-analyst-logistic-operations-aalsmeer-nh-nl-kelly-services-netherlands/222216841'
15,b'https://banen.monsterboard.nl/business-analyst-logistic-operations-amsterdam-nh-nl-aquent/fc48d84f-aa3c-4914-bbc2-644ef807ec32'
16,b'https://banen.monsterboard.nl/business-intelligence-data-analyst-leiden-nl-cooder-x-northpool/5cfc4203-36b7-4021-86c4-044cdadfdd2b'
17,b'https://banen.monsterboard.nl/commercial-data-analyst-amsterdam-nh-nl-walters-people/222220145'
18,b'https://banen.monsterboard.nl/data-analist-abn-amro-amersfoort-ut-nl-carrierecafe/220975451'
19,b'https://banen.monsterboard.nl/data-analist-amsterdam-nh-nl-carrierecafe/220975566'
20,b'https://banen.monsterboard.nl/data-analist-amsterdam-nh-nl-ormer-solutions-bv/ddd71c88-8e28-4be8-89ed-99f48e81b6c2'
21,b'https://banen.monsterboard.nl/data-analist-fraudebeheersing-enschede-ov-nl-menzis/33ffed2c-9de7-4424-a3ec-7c32ed54f81a'
